6,0.25,4.5,0.27
7,0.25,4.62,0.28
8,0.25,6.08,0.32
9,0.25,8.9,0.39
10,0.25,14.43,0.49
11,0.25,22.3,0.61
12,0.25,27.72,0.68
13,0.25,33.72,0.75
14,0.25,41.55,0.83
15,0.25,40.33,0.82
16,0.25,43.43,0.85
17,0.25,45.12,0.87
18,0.25,42.12,0.84
19,0.25,41.67,0.83
20,0.25,35.83,0.77
