10,920,54.3529208
50,920,54.3529208
100,920,54.3529208
1000,900,53.81449619
1500,880,53.28264258
2000,800,51.2249939
2250,800,51.2249939
2500,760,50.2410191
2750,740,49.76102893
3000,720,49.28934976
3250,680,48.37189267
3500,680,48.37189267
3750,640,47.49063065
4000,640,47.49063065
4500,600,46.64761516
5000,560,30.02931901
10000,320,23.74531533
20000,180,21.25652841
30000,120,11.0923397
40000,90,10.6282642
50000,75,10.44030651
60000,60,10.28396811
70000,50,10.19803903
80000,45,10.16070864
150000,25,10.04987562
