10,11,0.59464275
50,11,0.59464275
100,11,0.59464275
1000,11,0.59464275
1500,11,0.59464275
5000,11,0.59464275
10000,11,0.59464275
20000,11,0.59464275
30000,11,0.59464275
40000,10.8,0.588747824
50000,10.8,0.588747824
60000,10.8,0.588747824
70000,10.8,0.588747824
80000,10.8,0.588747824
90000,10.6,0.582903079
100000,10.4,0.577110041
110000,10.4,0.577110041
125000,10.4,0.577110041
150000,10.2,0.571370283
175000,10,0.565685425
200000,10,0.565685425
250000,9.6,0.55448715
300000,9.2,0.543529208
350000,8.6,0.527575587
400000,8,0.512249939
450000,7.4,0.497610289
475000,7,0.488262225
500000,6.8,0.337615166
700000,4.4,0.266413213
800000,3.6,0.246446749
900000,2.8,0.229224781
1000000,2.4,0.221846794
